svd_social,svd_content
0.676794386,0.76002375
0.073142502,0.285378347
0.311046925,1.094874069
0.444125141,0.562742512
0.603368333,0.53734112
0.101890112,0.094811447
0.078931788,0.5340736
0.354289646,1.033718105
0.068188539,0.39258137
0.172774014,0.536069752
0.027331322,0.387241544
0.077035992,0.415358232
0.032609019,0.184704172
0.161863382,1.128731652
0.13311954,0.410028016
0.380166824,0.627678342
0.436734759,0.71290824
0.54878528,0.638256273
0.048033997,0.358936175
0.275890697,1.447968844
0.527366681,0.909066689
1.15033515,1.005646195
0.416759527,0.531674426
0.668625274,0.794975583
0.318304339,1.373666954
0.326452286,0.424750322
0.468734331,0.66605055
0.107705703,0.501283077
0.826384794,0.696112886
0.490971061,1.080408356
0.504968305,0.592512751
0.170496727,0.628714548
0.469085182,1.318431826
0.294196663,0.539634584
0.341116308,1.419421171
0.608482141,0.473832676
0.610759171,0.804144827
0.500642467,0.504461983
0.570318519,0.544188268
0.260619971,0.684219975
0.236097452,0.537391691
0.408244106,0.79990929
0.338837677,0.420530526
0.215684058,0.472604199
0.077242383,0.465343171
0.342393477,0.652457225
0.395034148,0.687670496
0.332627078,1.01903859
0.325341404,0.506245999
0.472061382,0.619521312
0.228709141,0.439322577
0.435407628,0.682875922
0.497179034,0.654745026
1.234687056,0.657455066
0.073754921,0.635089234
0.191465529,0.455818047
0.418297994,0.667568613
0.55378529,0.952480846
0.217737758,0.370822616
0.049859556,0.591911631
0.022793364,0.37348305
0.572145217,0.738660828
0.077284571,0.259589154
0.423859426,0.491409712
0.563114311,0.826666034
0.112279803,0.357624418
0.701609973,0.667151828
0.360026167,0.309394693
0.286645403,0.176080282
0.567760228,0.605322854
0.355338054,0.378470632
0.214117129,0.750502932
0.669184368,1.273110545
0.463904094,0.296452775
0.07380955,0.329932482
0.2393075,0.146683862
0.553698428,0.731564816
0.544460776,0.927225503
0.503941162,0.815802423
0.126398155,0.334008364
0.078329705,0.401675778
0.067870215,0.416462432
0.543763962,0.304471818
0.270443464,0.819297554
0.398998359,0.504838024
0.904836776,0.484930191
0.459464355,0.588676178
0.923139074,1.017955696
0.35879743,0.175813048
0.535213066,1.171624587
0.748781071,0.798552607
0.486595968,0.993210687
0.297985336,0.338955296
0.048183402,0.276646865
0.383117137,0.219848584
0.476640114,0.563195263
0.655178734,0.584900478
0.249830424,0.841369193
0.128280506,0.187820932
0.36942373,0.481346804
0.142068772,0.598075338
0.172215098,0.305489982
0.314574394,0.585954698
0.345880003,0.205268288
0.052142874,0.363177139
0.360178406,0.324736455
0.274759153,0.561362296
0.412036044,0.555321332
0.356014906,0.494593003
0.378105073,0.580768901
0.941960204,0.714628444
0.377158886,0.640336005
0.776614847,0.681197759
0.631987024,0.033313544
0.06075057,0.375996081
0.46658736,0.43181608
0.406814331,1.236650034
0.149473121,0.251734029
0.368388326,0.341179308
0.486293689,1.143555786
0.433007329,0.467469348
0.156296691,0.328206988
0.278963971,0.405857419
0.62048273,0.80299461
0.461272369,0.441450124
0.329849938,0.72922772
0.512811062,0.530878742
0.521384737,0.688378716
0.516194618,0.411664211
0.130316991,0.311731499
0.475308035,0.635082829
0.423534657,0.725221457
0.916325904,0.659233755
0.595113124,0.586811777
0.391268498,0.588253647
0.367868013,0.590847042
0.172544128,0.363729304
0.760350527,1.188386294
0.121737523,0.521284822
0.659171664,0.73089237
0.110838564,0.215190859
0.787356166,0.717759295
0.0983782,0.17436588
0.315220953,0.391670707
0.823599287,0.86012347
0.363792012,1.244125148
0.135821854,0.06806423
0.65877532,0.241688241
0.053491212,0.620660016
0.366668619,0.368208131
0.15855044,0.373094963
0.334553979,0.401673671
0.035335818,0.302404686
0.906466696,0.819346001
0.447459728,0.37840381
0.896235674,0.579574605
0.304669616,1.278619531
0.322272847,0.686137246
0.167527522,0.029881402
0.250399936,0.378077807
0.089373037,0.420053326
0.424192255,0.481009923
0.20120276,0.667769992
0.033329721,0.079171685
0.103376875,0.207957735
0.642698526,0.808765725
0.297283703,0.226027306
0.305127643,0.559806546
0.324470026,0.786676162
0.95516966,1.170676516
0.308155395,0.388859205
0.084459556,0.353043976
0.2127676,1.392360015
0.173173301,0.719157352
0.035041699,0.45708266
0.379630762,0.331220827
0.298772854,0.241477024
0.725465891,0.811414586
0.728230033,0.589081217
0.445247983,1.153441197
0.468564258,0.321030832
0.631763441,0.733685688
0.084453175,0.045939332
0.172528367,0.477644969
0.367746481,0.647398426
0.611863614,0.64267524
0.482516759,0.604493983
0.337431033,0.649285549
0.434991507,0.507045843
0.618816381,0.501467172
0.459500645,0.716976962
0.613341175,0.5033892
0.414586736,1.187032446
0.456962477,1.017248169
1.063307008,0.499462087
0.853895818,1.421317031
0.0735806,0.431697051
0.237076645,0.464038648
0.410165573,1.478898463
0.457603878,0.666191538
0.284383273,0.796731962
0.647017951,0.661067482
0.453607097,0.854957363
0.278743909,1.356324883
0.609594053,0.656112269
0.023602784,0.088605277
0.83488227,0.579704993
0.327276808,1.193631717
0.533262432,0.84722078
0.944745462,0.302882525
0.322857252,0.23630214
0.406508823,0.529300676
0.635684225,0.614429142
0.27312729,0.59460692
0.443520856,1.073163153
0.454815627,0.618479741
0.074505999,0.018294109
0.542437779,1.241186491
0.380730453,0.156760021
0.616516017,0.769517779
0.38297427,0.6355237
0.373476485,0.21539571
0.446053007,0.352549191
0.146686944,0.266986552
1.083238655,0.025293795
0.317891828,0.647412772
0.425204482,0.414323277
0.028758094,0.244227539
0.487916429,0.593191012
0.086492611,0.495362313
0.765275057,0.80065044
0.211952943,0.264933778
0.413719413,0.410363661
0.916930587,0.803986733
0.204281794,0.375781773
0.036443482,0.288260505
0.221881901,0.54336779
0.307923476,0.09567775
0.271599363,0.276728879
0.530894694,1.005403828
0.766626851,0.608066008
0.906271526,0.588478746
0.411232176,1.336421178
0.223343705,0.42184427
0.534686147,0.779129069
0.654916544,0.318105126
0.616337959,0.714464629
0.555715144,1.050043618
0.463472396,0.487452901
0.49573572,0.754006248
0.232227241,0.319075143
0.180326784,0.397216546
0.466973479,0.648835619
0.830267226,0.669950981
0.123444774,0.381487614
0.335471128,0.878545034